dataset,algorithm,variant,metric,metric_group,n,mean,median,trimean,best_25,worst_25,max,min
nus8,multi_light_grid,gray_world,mean_reproduction_delta_e_2000,multi_illuminant_errors,1736,9.05962,8.409432,8.609918,4.490766,14.660619,24.873929,1.516889
nus8,shades_of_gray,default,angular_error,single_illuminant_errors,1736,5.567307,4.242127,4.804249,1.196101,11.828488,24.484936,0.026454
nus8,shades_of_gray,default,recovery_angular_error,single_illuminant_errors,1736,5.567307,4.242127,4.804249,1.196101,11.828488,24.484936,0.026454
nus8,shades_of_gray,default,recovery_delta_e_2000,single_illuminant_errors,1736,5.186676,3.60131,4.270599,1.029454,11.637487,21.569183,0.019896
nus8,shades_of_gray,default,reproduction_angular_error,single_illuminant_errors,1736,6.418279,5.191087,5.639581,1.463064,13.248289,25.535795,0.025839
nus8,shades_of_gray,default,reproduction_delta_e_2000,single_illuminant_errors,1736,10.504522,8.949047,9.866287,2.817405,19.74198,24.654379,0.087161
nus8,shades_of_gray,p3,angular_error,single_illuminant_errors,1736,4.150504,3.29104,3.557761,0.992816,8.720715,17.089074,0.036093
nus8,shades_of_gray,p3,recovery_angular_error,single_illuminant_errors,1736,4.150504,3.29104,3.557761,0.992816,8.720715,17.089074,0.036093
nus8,shades_of_gray,p3,recovery_delta_e_2000,single_illuminant_errors,1736,3.712456,2.876577,3.083622,0.843822,8.002266,18.402349,0.034515
nus8,shades_of_gray,p3,reproduction_angular_error,single_illuminant_errors,1736,5.152919,4.254759,4.509701,1.233498,10.595012,23.4287,0.040319
nus8,shades_of_gray,p3,reproduction_delta_e_2000,single_illuminant_errors,1736,7.931841,6.794831,7.158298,2.340066,15.415197,22.996984,0.089978
nus8extended,bright_pixels,top_5_percent,angular_error,single_illuminant_errors,1853,3.20744,2.353052,2.517886,0.662191,7.279555,19.340317,0.038784
nus8extended,bright_pixels,top_5_percent,recovery_angular_error,single_illuminant_errors,1853,3.20744,2.353052,2.517886,0.662191,7.279555,19.340317,0.038784
nus8extended,bright_pixels,top_5_percent,recovery_delta_e_2000,single_illuminant_errors,1853,2.791755,2.049565,2.195089,0.560671,6.307954,15.458547,0.023411
nus8extended,bright_pixels,top_5_percent,reproduction_angular_error,single_illuminant_errors,1853,4.415729,3.194443,3.428539,0.835486,10.168099,27.443431,0.046898
nus8extended,bright_pixels,top_5_percent,reproduction_delta_e_2000,single_illuminant_errors,1853,6.126396,5.015524,5.274099,1.654289,12.573035,24.463456,0.147952
nus8extended,cheng,prc_0_5,angular_error,single_illuminant_errors,1853,2.788337,2.01758,2.181183,0.612829,6.280834,18.841849,0.042232
nus8extended,cheng,prc_0_5,recovery_angular_error,single_illuminant_errors,1853,2.788337,2.01758,2.181183,0.612829,6.280834,18.841849,0.042232
nus8extended,cheng,prc_0_5,recovery_delta_e_2000,single_illuminant_errors,1853,2.468401,1.793377,1.942967,0.511283,5.59072,17.300625,0.036546
nus8extended,cheng,prc_0_5,reproduction_angular_error,single_illuminant_errors,1853,3.798022,2.646793,2.916512,0.751492,8.790672,27.152166,0.043846
nus8extended,cheng,prc_0_5,reproduction_delta_e_2000,single_illuminant_errors,1853,5.558316,4.499372,4.745358,1.525006,11.435133,24.665458,0.145672
nus8extended,fast_awb,default,angular_error,single_illuminant_errors,1853,4.142744,3.182731,3.382165,0.904717,9.122371,22.370541,0.021221
nus8extended,fast_awb,default,recovery_angular_error,single_illuminant_errors,1853,4.142744,3.182731,3.382165,0.904717,9.122371,22.370541,0.021221
nus8extended,fast_awb,default,recovery_delta_e_2000,single_illuminant_errors,1853,3.550267,2.691282,2.898935,0.749538,7.860237,20.44884,0.0155
nus8extended,fast_awb,default,reproduction_angular_error,single_illuminant_errors,1853,5.440148,4.289299,4.523892,1.144857,11.833999,24.702974,0.032381
nus8extended,fast_awb,default,reproduction_delta_e_2000,single_illuminant_errors,1853,7.438103,6.414229,6.695884,2.209748,14.341749,24.833326,0.051261
nus8extended,gray_edge,first_order,angular_error,single_illuminant_errors,1853,4.201735,3.504591,3.709781,1.355389,8.15756,20.268326,0.028186
nus8extended,gray_edge,first_order,recovery_angular_error,single_illuminant_errors,1853,4.201735,3.504591,3.709781,1.355389,8.15756,20.268326,0.028186
